state,period,year,unemployment_rate,qty_unemployed,qty_employed,labour_force
Louisiana,M12,2016,5.4,112436,1971776,2084212
Louisiana,M11,2016,5.4,114387,1990041,2104428
Louisiana,M10,2016,5.9,124482,1993994,2118476
Louisiana,M09,2016,6.4,134882,1984067,2118949
Louisiana,M08,2016,6.5,138745,1980049,2118794
Louisiana,M07,2016,6.6,142515,2009749,2152264
Louisiana,M06,2016,6.9,149501,2005686,2155187
Louisiana,M05,2016,5.9,124825,2001313,2126138
Louisiana,M04,2016,5.7,121287,2005989,2127276
Louisiana,M03,2016,6.0,128087,1999260,2127347
Louisiana,M02,2016,5.8,121977,1988088,2110065
Louisiana,M01,2016,6.4,136134,1975488,2111622
Louisiana,M12,2015,5.4,114227,2005239,2119466
Louisiana,M11,2015,5.7,121158,2021461,2142619
Louisiana,M10,2015,6.0,128275,2026038,2154313
Louisiana,M09,2015,6.1,131565,2011294,2142859
Louisiana,M08,2015,6.4,138667,2019987,2158654
Louisiana,M07,2015,6.7,146356,2044812,2191168
Louisiana,M06,2015,7.0,154559,2042462,2197021
Louisiana,M05,2015,6.4,139660,2036649,2176309
Louisiana,M04,2015,6.0,131017,2038672,2169689
Louisiana,M03,2015,6.4,139127,2025533,2164660
Louisiana,M02,2015,6.5,139221,2014339,2153560
Louisiana,M01,2015,7.3,158665,2003219,2161884
Louisiana,M12,2014,6.4,138042,2032106,2170148
Louisiana,M11,2014,6.7,147902,2047046,2194948
Louisiana,M10,2014,6.8,149338,2049306,2198644
Louisiana,M09,2014,7.0,152332,2027957,2180289
Louisiana,M08,2014,7.3,160337,2023205,2183542
Louisiana,M07,2014,7.2,158408,2038370,2196778
Louisiana,M06,2014,7.0,152910,2027356,2180266
Louisiana,M05,2014,6.0,128987,2009584,2138571
Louisiana,M04,2014,5.1,108507,2006555,2115062
Louisiana,M03,2014,5.6,117808,1992782,2110590
Louisiana,M02,2014,5.3,109622,1971502,2081124
Louisiana,M01,2014,5.8,120784,1955713,2076497
Louisiana,M12,2013,5.0,103557,1979666,2083223
Louisiana,M11,2013,5.4,114295,1994627,2108922
Louisiana,M10,2013,6.1,127991,1982939,2110930
Louisiana,M09,2013,6.4,135116,1975948,2111064
Louisiana,M08,2013,6.9,146431,1970698,2117129
Louisiana,M07,2013,7.3,155985,1986541,2142526
Louisiana,M06,2013,7.9,170435,1977458,2147893
Louisiana,M05,2013,6.9,146049,1962602,2108651
